model,age_year,shutter_count,condition,has_box,price_used
Sony ZV1,2,1264,excellent,0,15000
Sony A6400,2,9143,very_good,1,17400
Sony A7SII,4,69510,good,0,18900
Sony FX30,1,3652,excellent,0,51200
Sony A7RIV,4,71433,fair,1,37700
Sony A6000,6,89129,fair,0,7390
Sony A6000,12,71669,fair,1,7690
Sony ZV E10II,1,13480,good,0,28490
Sony RX100VII,4,1456,very_good,1,32000
Sony A7RIII,5,6722,very_good,1,30400บาท
Sony FX2,1,3550,very_good,0,80200
Sony A6700,2,73532,good,0,36200
Sony A5000,8,39451,very_good,0,5190
Sony A7IV,4,64459,fair,0,41390
Sony FX3,5,1559,excellent,1,106400
Sony FX3,2,1010,very_good,1,114500
Sony FX30,3,2413,very_good,1,48400
Sony A7II,11,6374,very_good,1,12700
Sony A9,6,270922,fair,1,31090
Sony ZV1F,0,1177,very_good,0,9390
Sony A7RIII,5,62098,good,1,26600
Sony RX100VII,0,1364,excellent,1,29100
Sony A6400,6,299326,fair,0,14200
Sony A6100,4,66450,good,0,14600
Sony A6400,6,41566,good,1,16790
Sony A7RIII,0,221963,poor,1,20790
Sony A7RIV,6,69878,fair,1,38490
Sony A9,9,48780,good,1,30600
Sony A6100,7,175024,fair,0,14090
Sony A6700,0,269434,fair,1,38400
Sony A7IV,2,33021,very_good,1,46000
Sony A7R,4,226313,poor,0,7890
Sony A7,12,277294,poor,1,6300
Sony A9II,0,2124,very_good,1,82400
Sony Cam,0,7761,very_good,1,170800
Sony A6300,10,283783,poor,0,10390
Sony RX100VII,1,299,excellent,1,32390
Sony FX30,3,3405,excellent,1,51000
Sony A6000,11,68115,fair,0,7600
Sony A1,0,34878,very_good,0,106100
Sony A5100,0,41925,very_good,0,8390
Sony A7SII,5,88116,good,0,18100
Sony A7S,1,13379,very_good,0,8000
Sony A7S,4,6997,very_good,1,9000
Sony FX3,1,3519,excellent,1,114500
Sony A5100,0,352640,poor,1,5700
Sony A7V,0,2252,excellent,1,78300
Sony FX2,1,2858,very_good,0,73500
Sony A7SII,6,69441,fair,1,17190
Sony A7RIII,5,280046,poor,0,20100
Sony A1II,0,18331,excellent,1,187600
Sony A1,5,210870,fair,1,87100
Sony FX3,1,1633,very_good,1,105590
Sony A7SIII,4,1926,very_good,0,62500
Sony A7S,4,50499,fair,0,6990
Sony A7,11,14018,very_good,1,8790
Sony A7R,5,52517,good,0,9290
Sony ZV1F,3,1094,very_good,0,9990
Sony A6600,4,87743,fair,0,21290
Sony A6100,0,3560,excellent,0,17890
Sony ZV1,1,364,very_good,1,14890
Sony A6000,6,1375,very_good,1,9300
Sony A9II,0,145055,fair,0,71000
Sony A6500,3,62487,good,1,15090
Sony A7R,1,24945,very_good,0,10890
Sony A7,4,9969,very_good,0,8700
Sony ZV1F,4,1416,very_good,0,10700
Sony ZV E10II,1,10022,good,0,28690
Sony ZV1F,0,216,very_good,0,10690
Sony A6000,7,249856,fair,0,7400
Sony A6500,5,122106,good,1,14900
Sony A1II,1,12794,very_good,0,193200
Sony A7RV,0,60667,fair,0,82300
Sony A7,5,95990,fair,0,6400
Sony A9,5,275666,fair,1,30900
Sony A7RIV,2,189583,poor,0,37300
Sony A6500,8,79013,good,0,15100
Sony A7R,2,263771,fair,1,8290
Sony A7IV,5,40671,very_good,1,47400
Sony ZV1F,3,1675,very_good,1,10500
Sony A7II,12,42768,very_good,0,12300
Sony A6400,2,8510,very_good,0,19490
Sony A5100,6,8324,good,1,6600
Sony A7V,0,11086,excellent,1,76590
Sony ZV E10II,1,272,excellent,0,29090
Sony A7IV,1,16258,very_good,1,48300
Sony RX100VII,0,1394,excellent,0,31590
Sony A9III,1,21221,good,0,125200
Sony ZV E10II,0,12777,good,0,28390
Sony A6500,9,53583,good,0,14900
Sony ZV E10II,2,6072,very_good,,29200
Sony A7II,0,15492,good,1,11000
Sony A7II,4,16265,good,1,10200
Sony ZV1F,3,794,excellent,1,10100
Sony ZV1,0,981,excellent,0,14890
Sony A7IV,2,65851,good,0,43890
Sony ZV1,2,1409,excellent,1,13700
Sony A7,13,67432,good,1,6990
Sony A6000,9,7471,good,0,7900
Sony A7V,1,8279,excellent,1,75190
Sony A7RIII,7,4778,very_good,0,28290
Sony ZV1F,0,1759,very_good,1,10400
Sony A7R,11,93584,good,0,9100
Sony A6700,1,13445,good,0,36390
Sony A7RIV,6,394223,poor,-,37900
Sony A6300,7,77811,fair,0,10500
Sony FX3,0,1508,excellent,0,106990
Sony A7IV,0,9124,good,0,41890
Sony A7,2,89316,fair,0,6700
Sony A7RIII,3,64602,good,1,25300
Sony A7III,6,1295,excellent,1,26200
Sony A7,5,183706,poor,1,6390
Sony A7III,7,7466,very_good,1,26190
Sony A7R,13,85718,fair,1,8090
Sony RX100VII,0,284,very_good,0,30500
Sony A6100,4,95755,fair,0,13890
Sony A7RIII,5,57964,good,0,24900
Sony A7IV,0,69028,fair,0,41200
Sony A9II,5,54444,fair,1,70990
Sony A6000,2,72094,fair,0,7400
Sony A7V,0,12976,good,1,75590
Sony A7RIV,7,196562,poor,1,38100
Sony ZV E10II,1,19055,very_good,0,32600
Sony A7III,0,24404,very_good,0,25690
Sony A7RII,6,90147,fair,0,16500
Sony A7RII,8,96799,fair,0,16290
Sony A7RV,4,99226,fair,0,81590
Sony A7RIV,3,178017,poor,1,38200
Sony A1,4,289179,poor,1,87700
Sony A1,1,4812,excellent,1,96400
Sony A7II,8,9308,good,0,10000
Sony FX2,0,3613,excellent,1,72900
Sony A6700,0,141403,fair,1,37300
Sony A7II,12,184192,poor,0,9200
Sony A6000,2,33040,very_good,1,9990
Sony A7IV,0,9405,very_good,1,52390
Sony FX3,3,2117,excellent,1,116090
Sony A7S,0,48669,very_good,1,8200
Sony A7V,0,13234,good,1,77500
Sony A5000,4,68554,fair,0,4390
Sony A1II,2,7843,excellent,,190000
Sony FX3,5,2273,excellent,1,112900
Sony A6700,3,6221,good,0,36400
Sony A6400,7,57419,good,0,16790
Sony A7V,1,3908,good,0,77100
Sony A6100,7,6906,good,1,15000
Sony A7RIII,0,85800,good,0,23690
Sony ZV E10II,0,9507,good,1,28390
Sony ZV1F,3,869,excellent,0,10400
Sony A7S,8,26691,very_good,1,9200
Sony FX30,3,3178,very_good,1,50590
Sony A7II,11,14222,good,0,10600
Sony A6300,1,68515,good,1,10890
Sony A7RII,0,4839,excellent,1,21400
Sony A7RIV,2,236642,fair,0,38190
Sony RX100VII,0,805,very_good,1,31890
Sony A7RIV,6,8913,good,0,37790
Sony A9III,3,27575,good,0,125590
Sony A1II,0,17651,good,1,169290
Sony A6300,3,254031,fair,1,10500
Sony A7RII,3,130753,fair,0,16600
Sony A7V,1,12573,very_good,1,81890
Sony RX100VII,7,301,very_good,0,31790
Sony A9III,0,39002,very_good,1,127000
Sony A7II,5,9435,very_good,1,12000
Sony RX100VII,7,1043,excellent,0,31690
Sony FX30,0,3146,excellent,0,50690
Sony A6700,1,2574,excellent,0,37900
Sony RX100VII,0,113,very_good,1,28000
Sony FX3,5,3760,very_good,0,115900
Sony A7,3,8725,good,1,7590
Sony A9II,7,39603,good,0,75400
Sony A9,6,17355,very_good,1,36390
Sony A6500,8,unknown,fair,1,14900
Sony A6300,10,242352,fair,0,10500
Sony A7,12,204410,fair,1,6400
Sony A6700,0,55332,good,0,36290
Sony A9II,5,4578,very_good,1,/
Sony A9,1,48715,very_good,0,36490
Sony A7,11,57277,good,1,6800
Sony A7SIII,0,1542,excellent,1,56200
Sony A6400,5,88240,fair,1,???
Sony A6400,3,32227,good,1,15290
Sony A6300,2,65194,fair,1,10590
Sony RX100VII,3,1037,excellent,1,28690
Sony A9,5,66441,good,0,31100
Sony A7S,6,176401,poor,1,6800
Sony A9II,5,9338,very_good,0,85400
Sony A7RII,7,19064,good,1,18090
Sony A7,11,,good,1,7200
Sony A6000,12,283929,fair,1,7490
Sony A6000,9,277595,poor,1,7390
Sony A6500,4,8599,very_good,0,16590
Sony ZV E10II,0,9780,good,0,28890
Sony A7RV,3,78303,fair,1,82190
A7III,0,130168,good,0,38800
Sony A7S,8,9272,good,1,8090
Sony ZV1,3,159,excellent,0,14600
Sony A7SIII,6,3882,excellent,0,59900
Sony A7II,7,8119,good,0,10600
Sony ZV E10,4,5753,good,0,16000
Sony A7III,4,6216,very_good,0,27800
Sony A7S,7,94575,good,0,7600
Sony ZV1F,4,209,very_good,0,10800
Sony FX3,5,3027,very_good,1,113800
Sony A6400,0,38905,good,1,14990
Sony ZV E10,4,16330,very_good,1,17790
Sony ZV1F,4,547,very_good,0,9400
Sony A6000,7,1525,very_good,0,9790
Sony A1,5,66120,good,0,89400
Sony A1,4,8927,very_good,1,96100
Sony FX3,5,1390,excellent,0,118700
Sony A6700,1,5377,very_good,1,41400
Sony A7SIII,5,2696,very_good,0,58700
Sony A7SIII,5,2511,very_good,0,63590
Sony ZV E10,5,11838,very_good,1,18390
Sony A7SIII,2,2161,very_good,1,59790
Sony A6100,0,7629,very_good,1,16100
Sony ZV1,1,1510,excellent,1,15690
Sony A1II,1,2800,very_good,0,189900
Sony A7RIV,3,21953,very_good,0,39000
Sony ZV1F,0,116,very_good,1,10600
Sony A6300,3,23425,very_good,0,12100
Sony A6700,1,9328,very_good,1,40490
Sony A7,6,67984,good,0,6890
Sony ZV1,2,1720,excellent,0,14100
Sony A5100,10,153856,fair,0,6290
Sony A9,1,9830,very_good,1,35300
Sony A9,9,81612,good,0,31900
Sony A6300,0,752,excellent,1,13490
Sony A9II,1,80471,good,0,72890
Sony A7V,1,19316,good,0,75400
Sony ZV1,5,1833,excellent,1,13790
Sony A6100,4,96252,good,0,14400
Sony A1,4,43980,very_good,1,96800
Sony A5100,5,171298,fair,0,5900
Sony FX3,2,1227,very_good,0,116990
Sony A6500,9,25117,very_good,0,17390
Sony ZV E10II,1,unknown,very_good,0,29800
Sony A7V,0,13739,good,1,76800
Sony A6100,2,8550,very_good,1,18490
Sony A7RIV,5,7583,very_good,1,41690
Sony A1II,2,16266,excellent,0,192000
Sony A9III,0,5775,very_good,1,147990
Sony A7RII,8,210052,poor,0,15700
Sony A6000,3,236251,poor,0,7290
Sony A6700,3,9403,very_good,0,39300
Sony A7V,1,10790,very_good,0,80790
Sony A6500,2,7465,good,1,15090
Sony A7RIV,7,2064,excellent,0,40100
Sony A7V,0,3088,good,0,77090
Sony A7S,0,218541,fair,0,6990
Sony A6100,3,6663,good,0,15200
Sony A6300,0,325919,??,1,10490
Sony ZV E10,0,5604,good,0,16090
Sony ZV1,1,824,excellent,1,15790
Sony A7III,4,82179,fair,0,19190
Sony FX2,0,3583,excellent,1,84900
Sony RX100VII,5,1969,very_good,1,29990
Sony A7SIII,0,2932,very_good,0,61800
Sony A7III,4,17328,very_good,1,28100
Sony A7S,2,5310,good,1,7990
Sony A7II,12,229034,poor,0,9090
Sony A7SII,0,10089,good,0,19490
Sony A7S,12,184826,fair,0,6800
Sony FX2,1,1297,very_good,,81200
Sony A7V,0,5261,good,1,74900
Sony A1,1,32983,good,0,88200
Sony A5000,11,202655,fair,0,4290
Sony A7,5,41194,good,0,7690
Sony A5000,4,1210,very_good,0,4990
Sony ZV1F,3,440,very_good,1,10190
Sony ZV E10II,2,7491,very_good,0,31200
Sony A7V,1,3531,excellent,0,79200
Sony A6400,5,90431,fair,0,14500
Sony A6100,1,34901,good,1,15300
Sony A7III,1,9467,good,1,22290
Sony ZV E10II,0,3278,excellent,0,30000
Sony A6600,4,71727,fair,1,21490
Sony A9,5,831,very_good,1,34890
Sony A6500,1,80968,fair,0,14900
Sony FX2,1,3193,very_good,1,79690
Sony A6000,8,77740,good,0,7700
Sony A7II,2,1383,very_good,0,11400
Sony A6300,1,62082,fair,0,10600
Sony A9III,1,9732,very_good,0,147300
Sony FX30,2,2683,very_good,1,47100
Sony A7SIII,3,1589,very_good,1,54800
Sony ZV E10II,1,12304,very_good,1,30600
Sony RX100VII,1,1879,excellent,1,28600
Sony A9III,0,3563,very_good,1,143200
Sony A7R,1,76426,fair,0,7900
Sony A7II,0,7578,very_good,1,12800
Sony ZV E10,4,13107,very_good,1,18090
Sony ZV E10II,2,18166,good,1,28400
Sony A5100,6,9475,very_good,0,8400
Sony A9III,0,278834,fair,0,130590
Sony A7RIII,9,180074,poor,1,20490
Sony A7RII,7,78241,fair,1,16390
Sony A6500,7,4629,very_good,1,17690
Sony FX2,0,1232,very_good,0,80700
Sony A7RIII,6,14629,very_good,1,28800
Sony A7RIV,2,246341,fair,1,38300
Sony A7RV,0,3759,very_good,1,91300
Sony A7IV,3,223348,fair,0,41200
Sony FX3,0,3788,very_good,0,111000
Sony A7RV,3,219949,fair,0,82200
Sony A7S,5,10617,good,0,7400
Sony A6400,2,93032,fair,1,14100
Sony FX30,1,3992,very_good,0,51500
Sony A5000,10,39657,good,1,4490
Sony A6000,4,219518,poor,0,7100
Sony A1,1,6709,very_good,0,94500
Sony A5100,9,26143,good,1,7000
Sony FX30,4,1199,excellent,0,49300
Sony A6600,6,26199,good,0,22690
Sony A6500,10,91631,good,0,15000
Sony A6500,7,3372,very_good,1,17500
Sony A7R,0,37222,good,0,8790
Sony RX100VII,2,284,excellent,1,31590
Sony A7IV,2,23082,very_good,1,51900
Sony A6600,1,112029,good,0,23400
Sony ZV1F,4,649,excellent,0,9990
Sony ZV E10,2,12739,good,0,16000
Sony A6100,2,9778,good,0,15400
Sony A1,4,2240,very_good,1,105690
Sony A6300,4,11620,very_good,1,13500
Sony A7III,7,98643,fair,0,19300
Sony A7R,8,229980,fair,0,7900
Sony A6100,3,59628,fair,1,14190
Sony RX100VII,7,747,excellent,0,32800
Sony A9III,0,10022,very_good,1,144300
Sony ZV E10,2,12006,very_good,1,18400
Sony A1II,2,14928,excellent,0,172900
Sony A7IV,4,23935,very_good,1,52100
Sony A7II,3,6537,very_good,1,11900
Sony A9III,0,276197,fair,0,127500
Sony FX2,0,3266,very_good,0,82900
Sony A6700,0,88714,fair,0,37890
Sony A7RV,2,27481,very_good,1,91200
Sony A7RII,3,4860,very_good,0,21790
Sony A6600,5,86389,fair,1,21300
Sony A5000,8,6340,very_good,1,4790
Sony A7RIII,2,281035,poor,1,20200
Sony A7SII,11,60972,good,1,18600
Sony A9,6,279607,poor,1,31390
Sony ZV1F,1,1966,very_good,0,10500
Sony ZV1F,1,1498,excellent,0,9690
Sony ZV1,2,1239,very_good,1,13800
Sony ZV E10,5,5172,very_good,0,16590
Sony A1,0,51662,good,0,90700
Sony FX30,3,1376,very_good,1,45890
Sony A7IV,1,262078,poor,0,40800
Sony A1,3,4094,excellent,0,101890
Sony FX30,2,1101,very_good,1,48100
A6400,5,22577,very_good,0,12900
Sony A7RII,10,23621,very_good,1,20500
Sony A7,0,53478,good,1,6890
Sony A7SII,4,69129,fair,0,17190
Sony A6300,9,1289,very_good,1,13490
Sony ZV1F,3,909,excellent,0,10000
Sony FX30,,3597,excellent,1,46400
Sony A7,1,9483,good,1,7200
Sony A1,1,94663,good,1,87690
Sony A7S,10,17128,good,0,7790
Sony A7II,11,53365,fair,0,9400
Sony A6300,3,69067,fair,0,10590
Sony A7V,1,5625,excellent,1,78800
Sony A1II,0,10964,very_good,1,183990
Sony A6500,2,20744,good,0,15290
Sony A6300,1,232953,fair,0,10600
Sony A7RIII,8,241473,poor,1,20790
Sony A7IV,1,76900,good,0,42800
Sony FX3,1,2827,excellent,0,???
Sony A6000,3,40375,very_good,0,8890
Sony ZV E10II,1,1621,excellent,1,33990
Sony FX30,4,1712,very_good,0,49290
Sony A7SII,8,55224,fair,0,17400
Sony A7R,3,4700,excellent,0,9690
Sony A7RV,0,72759,fair,1,82490
Sony A6000,2,31119,very_good,0,9390
Sony A7RIII,2,63143,good,1,26700
Sony ZV1F,4,1065,very_good,0,9500
Sony FX3,2,1686,very_good,0,118000
Sony A9,2,3415,very_good,0,37000
Sony A6000,12,25403,very_good,0,9190
Sony A9III,2,282882,poor,1,130500
Sony A6500,6,7917,very_good,1,17890
Sony A5000,11,10932,very_good,0,5190
Sony A1II,0,5171,very_good,1,189590
Sony A7SIII,5,2627,excellent,1,58400
Sony ZV E10II,1,10148,good,0,28790
Sony A7SII,7,31206,very_good,-,20300
Sony A9,0,138096,fair,0,30600
Sony A1II,0,1337,good,1,167300
Sony A7S,10,11403,very_good,1,9200
Sony FX3,4,3860,excellent,1,112500
Sony A5000,2,4620,very_good,0,5090
Sony A6300,1,83284,fair,0,10500
Sony A9II,0,6770,very_good,1,85000
Sony FX3,2,3203,very_good,1,113900
Sony A7RV,3,86916,good,1,82790
Sony A7SII,5,56281,good,1,19090
Sony A7RV,0,33394,good,1,81990
Sony A7II,7,40783,very_good,0,12890
Sony A1,1,25712,very_good,0,101700
Sony ZV E10II,1,10435,good,1,28800
Sony FX3,2,2629,excellent,1,114990
Sony A6000,8,99959,good,1,8090
Sony A5000,0,59732,good,1,4400
Sony A7RIII,3,5721,good,1,24100
Sony A9II,4,84895,good,0,77200
Sony A7III,8,59923,good,0,22200
Sony A5000,2,27625,good,0,4690
Sony A7R,0,4266,very_good,1,10790
Sony A1II,2,18367,very_good,1,180300
Sony FX30,1,2165,very_good,1,46600
Sony A7IV,3,28985,very_good,1,50000
Sony A6300,1,3839,very_good,1,12190
Sony ZV1F,2,1631,very_good,0,9990
Sony A7III,4,283683,fair,0,19590
Sony A6100,0,78679,good,0,14300
Sony A7SII,3,68085,good,0,17800
Sony A1,2,222471,poor,0,88990
Sony ZV1,4,1410,very_good,0,15700
Sony A7RIV,5,-,good,0,37300
Sony ZV E10II,2,372,very_good,0,33700
Sony A7IV,4,218,very_good,1,46500
Sony A7R,11,61081,fair,0,8090
Sony FX30,2,2691,excellent,1,50890
Sony ZV E10,4,14936,good,1,15900
Sony A6100,0,1775,very_good,0,16500
Sony A7,0,54815,fair,1,6400
Sony A6000,5,2493,excellent,1,8890
Sony A7RIII,6,131971,good,0,24900
Sony ZV E10,5,3178,excellent,1,17400
Sony A6000,11,236557,fair,0,7400
Sony A7RII,1,7213,good,0,16700
Sony A7III,0,252325,poor,0,18690
Sony RX100VII,1,1504,very_good,0,32600
Sony A7,11,24076,very_good,1,8390
Sony A7II,0,56945,good,1,10290
Sony RX100VII,3,1260,excellent,/,30690
Sony A7R,1,68901,fair,1,8200
Sony FX3,3,1759,excellent,0,112690
Sony A6300,10,201578,fair,0,10500
Sony A9III,2,8672,very_good,0,127600
Sony A6500,7,621,very_good,1,17100
Sony A7SII,9,11715,very_good,0,21800
Sony A6100,5,64519,fair,1,14190
Sony A6300,4,3637,excellent,1,11790
Sony FX2,0,3334,excellent,0,79400
Sony ZV E10,5,14094,very_good,1,16590
Sony A7R,8,358066,poor,1,7800
Sony ZV1,6,1586,very_good,0,15000
Sony A7RIII,5,217309,poor,1,20090
Sony A6700,2,3735,excellent,1,42090
Sony A6000,7,28141,good,0,7900
Sony A7RIV,1,84588,good,1,38500
Sony A6500,9,14898,good,1,14990
Sony ZV1,3,1877,excellent,0,15690
Sony A7RIV,0,84044,good,0,37800
Sony A9II,7,85399,good,1,72590
Sony A7RV,0,16463,good,1,81790
Sony A6700,3,73944,fair,0,37390
Sony A7SIII,6,2761,very_good,0,61000
Sony A1II,1,6341,very_good,1,180300
Sony ZV1F,4,398,very_good,0,9300
Sony A6400,1,41856,very_good,0,19500
Sony A6600,4,12981,good,0,22000
Sony ZV E10II,2,4731,excellent,0,30800
Sony A6100,4,4544,excellent,0,17000
Sony A7SIII,5,3703,very_good,1,62790
Sony FX3,5,1407,very_good,0,110200
Sony FX3,3,3296,excellent,1,102200
Sony A9II,2,5865,good,1,75090
Sony A7RIII,6,107724,fair,1,21590
Sony A9,8,260549,fair,1,31000
Sony A7RV,3,37100,very_good,0,93700
Sony FX2,0,2761,excellent,0,80600
Sony FX30,0,1754,very_good,0,50790
Sony A9III,2,93472,fair,0,133990
Sony A7SIII,4,3322,excellent,0,60190
Sony ZV E10II,0,16560,good,1,28790
Sony A6700,1,628,very_good,1,41490
Sony A7II,12,3001,very_good,1,12700
Sony ZV1,3,1689,excellent,1,15000
Sony FX30,4,3627,excellent,0,48200
Sony FX30,3,1160,very_good,0,48100
Sony ZV1F,3,1911,very_good,0,10590
Sony A6100,2,94685,fair,0,13700
Sony A9III,2,33445,good,0,126000
Sony A7RIII,5,31495,very_good,1,27600
Sony A9,8,30958,good,0,31590
Sony A7,2,146888,good,1,7190
Sony A7S,1,153176,fair,1,7090
Sony RX100VII,0,1345,very_good,1,29100
Sony ZV1F,0,1331,excellent,0,9700
Sony A7,0,14813,very_good,1,8800
Sony A6100,1,33363,very_good,0,17600
Sony A1II,0,3151,very_good,0,179700
Sony A6300,4,25993,good,0,10900
Sony A6100,1,92441,good,1,14900
Sony A7V,1,17316,good,0,74790
Sony RX100VII,7,1754,excellent,1,32390
Sony A6600,0,25456,very_good,1,27100
Sony A1,4,155663,fair,1,88400
Sony A7RIV,5,24920,good,0,37900
Sony A7RV,2,225595,poor,1,82100
Sony ZV E10,4,11080,good,0,16000
Sony A7V,0,6924,good,1,75700
Sony A7SIII,6,1127,very_good,0,63800
Sony A6600,4,51222,good,0,22190
Sony A7RIV,3,32939,very_good,0,41690
Sony FX3,0,2976,excellent,1,104900
Sony A6500,8,27395,very_good,0,17300
Sony A6000,10,122826,fair,1,7590
Sony A7RIV,3,35237,good,1,37790
Sony A7,2,349,excellent,1,7990
Sony A7IV,4,1267,very_good,1,49890
Sony A7,7,113226,good,1,6790
Sony ZV1F,4,828,very_good,0,9890
Sony A6700,0,283133,poor,1,37790
Sony A7SII,2,261727,poor,1,16790
Sony RX100VII,0,233,very_good,0,28500
Sony A1,4,76577,good,0,88600
Sony A6300,4,62535,fair,0,10590
Sony A6300,5,9782,good,1,???
Sony A6300,9,129969,fair,1,10590
Sony A9II,1,99850,fair,0,70600
Sony A6700,0,96623,good,1,36390
Sony A7V,1,18786,good,1,76800
Sony A5000,9,205957,fair,0,4390
Sony A1,0,108174,good,1,88700
Sony A9,6,96833,good,1,31490
Sony A9III,1,2156,excellent,0,126900
Sony ZV1,1,273,excellent,1,15000
Sony A7S,7,82358,fair,1,7090
Sony RX100VII,3,1558,very_good,1,30000
Sony ZV E10II,2,12177,very_good,0,31900
Sony FX2,1,2904,excellent,0,78900
Sony A6300,10,85973,fair,0,10500
Sony FX3,3,3350,very_good,1,109000
Sony A6000,11,296457,poor,0,7200
Sony A7R,9,4880,excellent,0,9890
Sony A6700,2,4309,excellent,0,41200
Sony A7S,4,40958,good,0,7300
Sony A7,9,140409,fair,1,6600
Sony ZV1F,1,531,very_good,0,9490
Sony ZV E10,3,15705,good,0,15800
Sony A9,7,8790,good,1,30600
Sony A7V,0,3290,good,1,75800
Sony A7SIII,2,1402,very_good,0,60790
Sony A7RV,1,11386,very_good,0,97590
Sony ZV1F,2,549,very_good,,9790
Sony A7RII,9,25725,very_good,0,21590
Sony A7S,4,1340,very_good,1,9390
Sony A7R,12,1122,very_good,1,10000
Sony ZV1F,0,1107,excellent,1,10390
Sony FX30,3,1894,excellent,0,51200
Sony A6300,9,68442,good,0,11490
Sony A9,4,5503,good,1,31600
Sony A9II,1,10433,good,1,77100
Sony FX30,2,2365,very_good,0,47200
Sony A7RV,0,299348,poor,0,81690
Sony A7II,4,23994,good,1,10400
Sony A6000,3,9814,very_good,1,9190
Sony ZV1F,0,175,very_good,0,9400
Sony A7RII,10,70079,good,0,18290
Sony A7,7,71763,good,0,7000
Sony A6100,4,125504,fair,0,14000
Sony RX100VII,3,229,,1,30100
Sony FX30,1,2317,excellent,1,50100
Sony A7SIII,1,2700,excellent,1,61100
Sony A6000,2,6262,very_good,0,8400
Sony A6400,4,72391,good,1,15200
Sony A7S,9,88154,good,0,7800
Sony A9III,0,35153,very_good,1,148700
Sony A7RII,4,1946,excellent,1,21000
Sony A7R,10,114163,fair,1,8000
Sony A6500,0,146107,good,0,15200
Sony ZV1F,4,1287,very_good,1,10000
Sony A6600,-,3984,very_good,0,27490
Sony RX100VII,0,1923,very_good,1,28700
Sony A1II,0,15099,good,1,166590
Sony A6700,0,17818,good,1,36200
Sony A7RV,1,258239,fair,0,81100
Sony A9III,3,156739,poor,1,134490
Sony A7V,1,19087,excellent,0,86500
Sony A6000,0,396138,fair,0,7590
Sony A7III,1,11628,good,1,25390
Sony A6400,0,49955,very_good,0,19000
Sony A6700,3,6168,good,0,36490
Sony A7RV,4,7077,good,0,83700
